y,x,MarketName,WIC,Organic,Vegetables,Fruits,Meat,Grains
44.411036,-72.140337, Caledonia Farmers Market Association - Danville,Y,Y,Y,Y,Y,N
41.864268,-103.662538,18th Street Farmer's Market,N,Y,Y,Y,Y,N
40.404837,-73.994358,26th Annual Highlands Business Partnership's Farmers Market,Y,Y,Y,Y,N,N
34.13576,-116.058946,29 Palms Farmers' Market,N,Y,Y,Y,N,N
39.762593,-84.18103,2nd Street Market - Five Rivers MetroPark,N,Y,Y,Y,Y,Y
41.356383,-88.425186,3 French Hens French Country Market,N,Y,Y,Y,Y,N
44.292952,-85.296147,3rd Day Farmer's Market,Y,N,Y,Y,Y,N
41.784079,-87.5905914,61st Street Farmers Market,N,-,Y,Y,N,N
30.461953,-84.279874,A Growers' Market,Y,N,Y,Y,N,N
46.972973,-123.816413,Aberdeen Sunday Market,Y,-,Y,Y,N,N
36.708863,-81.97716,Abingdon Farmers Market,N,Y,Y,Y,Y,N
30.479064,-90.038907,Abita Springs Art & Farmers Market ,N,-,Y,Y,Y,Y
38.795296,-83.546357,Adams County Farmer's Market,N,N,Y,Y,Y,N
39.830597,-77.234147,Adams County Farmers Market,Y,Y,Y,Y,Y,N
39.830597,-77.234147,Adams County Farmers' Market Association,Y,N,Y,Y,N,N
40.273997,-76.937407,Adams-Ricci Farmers Market,Y,N,Y,Y,Y,N
19.525784,-155.9236509,Adaptations' Fresh Feast,N,Y,Y,Y,N,N
39.992509,-74.207478,AG Farmers' Market,Y,Y,Y,Y,N,N
35.127452,-89.801733,Agricenter International Farmer's Market,Y,Y,Y,Y,Y,N
21.287867,-157.84493,Aina Moana  Park (People's Open Market),N,N,Y,Y,N,N
28.481294,-82.441514,Airport Farmers and Flea Market,N,Y,Y,Y,N,N
29.7106652,-82.352515,Alachua County Farmers' Market,Y,Y,Y,Y,Y,N
29.493258,-98.481174,Alamo Heights Farmers Market,N,-,Y,Y,Y,N
37.467321,-105.865006,Alamosa Farmers Market,N,Y,Y,Y,Y,Y
40.299191,-85.235831,Albany IN Farmers Market,Y,N,Y,Y,Y,N
44.331171,-75.916118,Alexandria Bay Farmers Market,Y,-,Y,Y,N,N
45.890762,-95.375902,Alexandria Farmers Market,N,Y,Y,Y,Y,N
