,MarketName,x,y,WIC,Organic,Vegetables,Meat,Fruits,Grains
1, Caledonia Farmers Market Association - Danville,-72.140337,44.411035999999996,Y,Y,Y,Y,Y,N
3,18th Street Farmer's Market,-103.662538,41.864268,N,Y,Y,Y,Y,N
5,26th Annual Highlands Business Partnership's Farmers Market,-73.99435799999999,40.404837,Y,Y,Y,N,Y,N
7,29 Palms Farmers' Market,-116.05894599999999,34.13576,N,Y,Y,N,Y,N
9,2nd Street Market - Five Rivers MetroPark,-84.18103,39.762593,N,Y,Y,Y,Y,Y
11,3 French Hens French Country Market,-88.425186,41.356383,N,Y,Y,Y,Y,N
13,3rd Day Farmer's Market,-85.29614699999999,44.292952,Y,N,Y,Y,Y,N
15,61st Street Farmers Market,-87.59059140000001,41.784079,N,-,Y,N,Y,N
17,A Growers' Market,-84.27987399999999,30.461953,Y,N,Y,N,Y,N
19,Aberdeen Sunday Market,-123.81641299999998,46.972972999999996,Y,-,Y,N,Y,N
21,Abingdon Farmers Market,-81.97716,36.708863,N,Y,Y,Y,Y,N
23,Abita Springs Art & Farmers Market ,-90.038907,30.479064,N,-,Y,Y,Y,Y
25,Adams County Farmer's Market,-83.546357,38.795296,N,N,Y,Y,Y,N
27,Adams County Farmers Market,-77.234147,39.830597,Y,Y,Y,Y,Y,N
29,Adams County Farmers' Market Association,-77.234147,39.830597,Y,N,Y,N,Y,N
31,Adams-Ricci Farmers Market,-76.937407,40.273996999999994,Y,N,Y,Y,Y,N
33,Adaptations' Fresh Feast,-155.9236509,19.525783999999998,N,Y,Y,N,Y,N
35,AG Farmers' Market,-74.20747800000001,39.992509000000005,Y,Y,Y,N,Y,N
37,Agricenter International Farmer's Market,-89.801733,35.127452000000005,Y,Y,Y,Y,Y,N
39,Aina Moana  Park (People's Open Market),-157.84493,21.287867000000002,N,N,Y,N,Y,N
41,Airport Farmers and Flea Market,-82.441514,28.481294000000002,N,Y,Y,N,Y,N
43,Alachua County Farmers' Market,-82.352515,29.7106652,Y,Y,Y,Y,Y,N
45,Alamo Heights Farmers Market,-98.481174,29.493258,N,-,Y,Y,Y,N
47,Alamosa Farmers Market,-105.86500600000001,37.467321000000005,N,Y,Y,Y,Y,Y
