,FMID,x,y,WIC,SNAP,Fruits,Vegetables,Organic,Meat
0,,,,,,,,,
1,1018261.0,-72.140337,44.411035999999996,Y,N,Y,Y,Y,Y
2,,,,,,,,,
3,1009994.0,-103.662538,41.864268,N,N,Y,Y,Y,Y
4,,,,,,,,,
5,1000709.0,-73.99435799999999,40.404837,Y,Y,Y,Y,Y,N
6,,,,,,,,,
7,1019956.0,-116.05894599999999,34.13576,N,N,Y,Y,Y,N
8,,,,,,,,,
9,1009959.0,-84.18103,39.762593,N,Y,Y,Y,Y,Y
10,,,,,,,,,
11,1004950.0,-88.425186,41.356383,N,N,Y,Y,Y,Y
12,,,,,,,,,
13,1019938.0,-85.29614699999999,44.292952,Y,Y,Y,Y,N,Y
14,,,,,,,,,
15,1018965.0,-87.59059140000001,41.784079,N,Y,Y,Y,-,N
16,,,,,,,,,
17,1009004.0,-84.27987399999999,30.461953,Y,Y,Y,Y,N,N
18,,,,,,,,,
19,1019473.0,-123.81641299999998,46.972972999999996,Y,Y,Y,Y,-,N
20,,,,,,,,,
21,1010487.0,-81.97716,36.708863,N,Y,Y,Y,Y,Y
22,,,,,,,,,
23,1019695.0,-90.038907,30.479064,N,N,Y,Y,-,Y
24,,,,,,,,,
25,1021442.0,-83.546357,38.795296,N,Y,Y,Y,N,Y
26,,,,,,,,,
27,1019676.0,-77.234147,39.830597,Y,Y,Y,Y,Y,Y
28,,,,,,,,,
29,1019351.0,-77.234147,39.830597,Y,Y,Y,Y,N,N
30,,,,,,,,,
31,1019847.0,-76.937407,40.273996999999994,Y,N,Y,Y,N,Y
32,,,,,,,,,
33,1008961.0,-155.9236509,19.525783999999998,N,Y,Y,Y,Y,N
34,,,,,,,,,
35,1019203.0,-74.20747800000001,39.992509000000005,Y,Y,Y,Y,Y,N
36,,,,,,,,,
37,1012233.0,-89.801733,35.127452000000005,Y,N,Y,Y,Y,Y
38,,,,,,,,,
39,1005258.0,-157.84493,21.287867000000002,N,Y,Y,Y,N,N
40,,,,,,,,,
41,1008054.0,-82.441514,28.481294000000002,N,N,Y,Y,Y,N
42,,,,,,,,,
43,1008612.0,-82.352515,29.7106652,Y,Y,Y,Y,Y,Y
44,,,,,,,,,
45,1018304.0,-98.481174,29.493258,N,N,Y,Y,-,Y
46,,,,,,,,,
47,1004070.0,-105.86500600000001,37.467321000000005,N,Y,Y,Y,Y,Y
48,,,,,,,,,
49,1019371.0,-85.235831,40.299191,Y,Y,Y,Y,N,Y
50,,,,,,,,,
51,1000519.0,-75.91611800000001,44.331171000000005,Y,N,Y,Y,-,N
52,,,,,,,,,
53,1019113.0,-95.375902,45.890762,N,N,Y,Y,Y,Y
54,,,,,,,,,
55,1019831.0,-95.400669,37.927427,N,Y,N,Y,-,Y
56,,,,,,,,,
57,1019832.0,-95.400669,37.927427,N,Y,N,Y,N,Y
58,,,,,,,,,
59,1012389.0,-122.858722,45.480164,Y,Y,Y,Y,-,N
60,,,,,,,,,
61,1020150.0,-120.542201,41.483907,Y,Y,Y,Y,N,Y
62,,,,,,,,,
63,1021309.0,-75.225298,40.153501,Y,N,Y,Y,Y,Y
64,,,,,,,,,
65,1011171.0,-93.61494300000001,42.025222,Y,Y,Y,Y,Y,Y
66,,,,,,,,,
67,1003563.0,-84.09904300000001,34.437795,N,N,Y,Y,-,Y
68,,,,,,,,,
69,1019438.0,-86.71749100000001,36.257791999999995,N,Y,Y,Y,-,Y
70,,,,,,,,,
71,1012157.0,-113.13910800000001,46.099059000000004,N,Y,Y,Y,N,Y
72,,,,,,,,,
73,1005944.0,-122.609181,48.516974,Y,Y,Y,Y,Y,Y
74,,,,,,,,,
